id_reserva;id_cliente;id_habitacion;id_canal;estado_reserva;adultos;ninos;bebes;deposito;checkin;checkout
1;853;847;1;Check-Out;2;0;0;0;01/07/2015;01/07/2015
2;981;457;1;Check-Out;2;0;0;0;01/07/2015;01/07/2015
3;933;671;1;Check-Out;1;0;0;0;01/07/2015;02/07/2015
4;934;659;3;Check-Out;1;0;0;3040;01/07/2015;02/07/2015
5;318;739;2;Check-Out;2;0;0;2400;01/07/2015;03/07/2015
6;270;396;2;Check-Out;2;0;0;2400;01/07/2015;03/07/2015
7;941;630;1;Check-Out;2;0;0;0;01/07/2015;03/07/2015
8;448;792;1;Check-Out;2;0;0;3030;01/07/2015;03/07/2015
9;746;577;2;Canceled;2;0;0;2400;01/07/2015;04/07/2015
10;327;528;2;Canceled;2;0;0;150;01/07/2015;04/07/2015
11;367;685;2;Canceled;2;0;0;2400;01/07/2015;05/07/2015
12;566;540;2;Check-Out;2;0;0;2400;01/07/2015;05/07/2015
13;622;816;2;Check-Out;2;0;0;2400;01/07/2015;05/07/2015
14;990;884;2;Check-Out;2;1;0;2410;01/07/2015;05/07/2015
15;408;222;2;Check-Out;2;0;0;2410;01/07/2015;05/07/2015
16;652;355;2;Check-Out;2;0;0;2400;01/07/2015;05/07/2015
17;445;829;2;Check-Out;2;0;0;80;01/07/2015;05/07/2015
18;848;499;2;Check-Out;2;0;0;2400;01/07/2015;02/07/2015
19;397;168;3;Check-Out;2;0;0;0;01/07/2015;02/07/2015
20;163;240;1;Check-Out;2;0;0;2500;01/07/2015;05/07/2015
21;600;605;2;Check-Out;1;0;0;2410;01/07/2015;06/07/2015
22;579;228;1;Check-Out;2;0;0;2500;01/07/2015;07/07/2015
23;314;600;1;Check-Out;2;0;0;2500;01/07/2015;07/07/2015
24;630;397;1;Check-Out;2;0;0;2500;01/07/2015;07/07/2015
25;527;606;2;Check-Out;2;0;0;1150;01/07/2015;08/07/2015
26;589;169;2;Check-Out;2;0;0;50;01/07/2015;08/07/2015
27;705;156;2;Check-Out;2;0;0;80;01/07/2015;08/07/2015
28;29;319;2;Canceled;2;0;0;2400;01/07/2015;08/07/2015
29;941;439;2;Check-Out;2;0;0;2400;01/07/2015;08/07/2015
30;106;667;2;Check-Out;2;0;0;2400;01/07/2015;08/07/2015
31;294;958;1;Check-Out;1;0;0;0;01/07/2015;15/07/2015
32;985;961;2;Check-Out;2;0;0;2410;01/07/2015;16/07/2015
33;853;505;1;Canceled;2;0;0;0;01/07/2015;11/07/2015
