id_reserva;id_cliente;id_habitacion;id_canal;estado_reserva;adultos;ninos;bebes;deposito;checkin;checkout
1;853;847;1;Check-Out;2;0;0;0;2015-07-01;2015-07-01
2;981;457;1;Check-Out;2;0;0;0;2015-07-01;2015-07-01
3;933;671;1;Check-Out;1;0;0;0;2015-07-01;2015-07-02
4;934;659;3;Check-Out;1;0;0;3040;2015-07-01;2015-07-02
5;318;739;2;Check-Out;2;0;0;2400;2015-07-01;2015-07-03
6;270;396;2;Check-Out;2;0;0;2400;2015-07-01;2015-07-03
7;941;630;1;Check-Out;2;0;0;0;2015-07-01;2015-07-03
8;448;792;1;Check-Out;2;0;0;3030;2015-07-01;2015-07-03
9;746;577;2;Canceled;2;0;0;2400;2015-07-01;2015-07-04
10;327;528;2;Canceled;2;0;0;150;2015-07-01;2015-07-04
11;367;685;2;Canceled;2;0;0;2400;2015-07-01;2015-07-05
12;566;540;2;Check-Out;2;0;0;2400;2015-07-01;2015-07-05
13;622;816;2;Check-Out;2;0;0;2400;2015-07-01;2015-07-05
14;990;884;2;Check-Out;2;1;0;2410;2015-07-01;2015-07-05
15;408;222;2;Check-Out;2;0;0;2410;2015-07-01;2015-07-05
16;652;355;2;Check-Out;2;0;0;2400;2015-07-01;2015-07-05
17;445;829;2;Check-Out;2;0;0;80;2015-07-01;2015-07-05
18;848;499;2;Check-Out;2;0;0;2400;2015-07-01;2015-07-02
19;397;168;3;Check-Out;2;0;0;0;2015-07-01;2015-07-02
20;163;240;1;Check-Out;2;0;0;2500;2015-07-01;2015-07-05
21;600;605;2;Check-Out;1;0;0;2410;2015-07-01;2015-07-06
22;579;228;1;Check-Out;2;0;0;2500;2015-07-01;2015-07-07
23;314;600;1;Check-Out;2;0;0;2500;2015-07-01;2015-07-07
24;630;397;1;Check-Out;2;0;0;2500;2015-07-01;2015-07-07
25;527;606;2;Check-Out;2;0;0;1150;2015-07-01;2015-07-08
26;589;169;2;Check-Out;2;0;0;50;2015-07-01;2015-07-08
27;705;156;2;Check-Out;2;0;0;80;2015-07-01;2015-07-08
28;29;319;2;Canceled;2;0;0;2400;2015-07-01;2015-07-08
29;941;439;2;Check-Out;2;0;0;2400;2015-07-01;2015-07-08
30;106;667;2;Check-Out;2;0;0;2400;2015-07-01;2015-07-08
31;294;958;1;Check-Out;1;0;0;0;2015-07-01;2015-07-15
32;985;961;2;Check-Out;2;0;0;2410;2015-07-01;2015-07-16
33;853;505;1;Canceled;2;0;0;0;2015-07-01;2015-07-11
34;726;924;1;Check-Out;2;0;0;0;2015-07-01;2015-07-15
35;922;911;3;Check-Out;1;0;0;0;2015-07-01;2015-07-02
36;727;664;2;Check-Out;1;0;0;2400;2015-07-01;2015-07-02
37;721;742;3;Check-Out;1;0;0;0;2015-07-01;2015-07-02
38;857;607;2;Check-Out;2;0;0;2400;2015-07-01;2015-07-05
39;449;751;2;Check-Out;2;0;0;2530;2015-07-01;2015-07-05
40;56;298;2;Check-Out;3;0;0;60;2015-07-01;2015-07-06
41;432;888;2;Check-Out;2;0;0;1150;2015-07-01;2015-07-08
42;845;823;2;Check-Out;2;0;0;1560;2015-07-01;2015-07-08
43;220;765;2;Check-Out;2;1;0;1560;2015-07-01;2015-07-08
44;531;569;2;Check-Out;1;0;0;60;2015-07-01;2015-07-03
45;422;127;2;Canceled;2;0;0;90;2015-07-01;2015-07-05
46;866;857;2;Canceled;1;0;0;90;2015-07-01;2015-07-05
47;190;270;2;Canceled;2;0;0;90;2015-07-01;2015-07-07
48;998;936;2;Canceled;2;0;0;60;2015-07-01;2015-07-03
49;10;343;2;Canceled;2;0;0;60;2015-07-01;2015-07-03
50;644;282;2;Canceled;2;0;0;60;2015-07-01;2015-07-03
51;347;954;2;Canceled;2;0;0;60;2015-07-01;2015-07-03
52;418;583;2;Canceled;2;0;0;60;2015-07-01;2015-07-03
53;975;954;2;Canceled;2;0;0;60;2015-07-01;2015-07-03
54;651;498;2;Canceled;2;0;0;60;2015-07-01;2015-07-03
55;918;103;2;Canceled;2;0;0;60;2015-07-01;2015-07-03
56;835;222;2;Canceled;2;0;0;90;2015-07-01;2015-07-06
57;495;444;2;Canceled;2;0;0;90;2015-07-01;2015-07-03
58;492;912;2;Canceled;2;0;0;90;2015-07-01;2015-07-03
59;569;268;2;Check-Out;1;0;0;60;2015-07-01;2015-07-03
60;932;881;2;Check-Out;1;0;0;60;2015-07-01;2015-07-03
61;922;899;2;Check-Out;1;0;0;60;2015-07-01;2015-07-03
62;788;833;2;Check-Out;1;0;0;60;2015-07-01;2015-07-03
63;146;491;2;Check-Out;1;0;0;60;2015-07-01;2015-07-03
64;176;935;2;Check-Out;1;0;0;60;2015-07-01;2015-07-03
65;757;886;2;Check-Out;1;0;0;60;2015-07-01;2015-07-03
66;981;922;2;Check-Out;1;0;0;60;2015-07-01;2015-07-03
67;568;250;2;Check-Out;1;0;0;60;2015-07-01;2015-07-03
68;73;892;2;Check-Out;1;0;0;60;2015-07-01;2015-07-03
69;275;485;2;Check-Out;1;0;0;60;2015-07-01;2015-07-03
70;320;551;2;Check-Out;1;0;0;60;2015-07-01;2015-07-03
71;516;539;2;Check-Out;1;0;0;60;2015-07-01;2015-07-03
72;624;778;2;Check-Out;1;0;0;60;2015-07-01;2015-07-03
73;845;816;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
74;440;577;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
75;264;612;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
76;345;360;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
77;787;145;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
78;973;235;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
79;750;696;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
80;355;577;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
81;403;966;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
82;155;186;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
83;136;702;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
84;649;331;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
85;564;510;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
86;122;739;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
87;30;721;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
88;271;510;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
89;43;811;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
90;738;924;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
91;515;132;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
92;701;913;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
93;860;720;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
94;340;294;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
95;35;390;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
96;346;558;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
97;434;835;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
98;34;259;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
99;820;463;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
100;401;774;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
101;369;967;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
102;723;427;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
103;737;811;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
104;333;342;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
105;315;145;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
106;403;972;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
107;471;522;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
108;998;637;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
109;691;595;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
110;268;649;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
111;44;144;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
112;383;180;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
113;835;271;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
114;918;630;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
115;619;708;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
116;946;409;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
117;155;151;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
118;68;642;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
119;579;409;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
120;175;217;2;Check-Out;2;0;0;60;2015-07-01;2015-07-03
121;397;493;2;Check-Out;2;0;0;80;2015-07-01;2015-07-06
122;735;298;2;Check-Out;3;0;0;80;2015-07-01;2015-07-06
123;599;115;2;Check-Out;2;0;0;1750;2015-07-02;2015-07-08
124;577;742;2;Canceled;3;0;0;2410;2015-07-02;2015-07-06
125;798;130;2;Canceled;3;0;0;2410;2015-07-02;2015-07-06
126;647;325;2;Check-Out;2;0;0;2400;2015-07-02;2015-07-06
127;283;796;2;Check-Out;3;0;0;2410;2015-07-02;2015-07-06
128;508;106;2;Canceled;3;0;0;2410;2015-07-02;2015-07-06
129;210;403;1;Check-Out;2;0;0;2500;2015-07-02;2015-07-07
130;500;577;2;Canceled;2;0;0;2410;2015-07-02;2015-07-07
131;21;583;2;Check-Out;2;0;0;80;2015-07-02;2015-07-07
132;994;805;1;Check-Out;2;0;0;0;2015-07-02;2015-07-07
133;696;721;1;Check-Out;2;0;0;2500;2015-07-02;2015-07-07
134;767;895;2;Check-Out;2;0;0;2400;2015-07-02;2015-07-09
135;767;638;2;Canceled;2;2;0;2400;2015-07-02;2015-07-09
136;748;457;2;Check-Out;2;0;0;1340;2015-07-02;2015-07-09
137;425;594;2;Check-Out;2;0;0;1560;2015-07-02;2015-07-09
